productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
main,1,200000011,USD 2490,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/304910101_apples_granny_smith.jpg","Local Organic Apples, Granny Smith",The tart and tangy granny smith apples are characterized by their bright green skin. These apples are great for snacking on and also retain flavour and moisture when cooking with them. These apples are usually available late October.,local-organic-apples-granny-smith-200000011,,,,"Local Organic Apples, Granny Smith",The tart and tangy granny smith apples are characterized by their bright green skin. These apples are great for snacking on and also retain flavour and moisture when cooking with them. These apples are usually available late October.,local-organic-apples-granny-smith-200000011,,,,"Local Organic Apples, Granny Smith",The tart and tangy granny smith apples are characterized by their bright green skin. These apples are great for snacking on and also retain flavour and moisture when cooking with them. These apples are usually available late October.,local-organic-apples-granny-smith-200000011,,,,,,,,11,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000012,USD 3290,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/604910101_apples_Honey_crisp.jpg","Local Organic Apples, Honeycrisp","The Honeycrisp is distinguished by a mottled red-over-yellow skin. The fruit has a crisp, juicy texture, and the flesh is cream coloured and coarse.",local-organic-apples-honeycrisp-200000012,,,,"Local Organic Apples, Honeycrisp","The Honeycrisp is distinguished by a mottled red-over-yellow skin. The fruit has a crisp, juicy texture, and the flesh is cream coloured and coarse.",local-organic-apples-honeycrisp-200000012,,,,"Local Organic Apples, Honeycrisp","The Honeycrisp is distinguished by a mottled red-over-yellow skin. The fruit has a crisp, juicy texture, and the flesh is cream coloured and coarse.",local-organic-apples-honeycrisp-200000012,,,,,,,,12,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000013,USD 5990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-934910455_baby_arugula.jpg","Organic Arugula, Baby Arugula",This product traveled 1569 km to reach our warehouse.,organic-arugula-baby-arugula-200000013,,,,"Organic Arugula, Baby Arugula",This product traveled 1569 km to reach our warehouse.,organic-arugula-baby-arugula-200000013,,,,"Organic Arugula, Baby Arugula",This product traveled 1569 km to reach our warehouse.,organic-arugula-baby-arugula-200000013,,,,,,,,13,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000014,USD 3790,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/100910721_Bananas_v2.jpg",Organic Bananas,"With their high potassium and low sodium contents, our organic bananas are one of the most popular choices for fresh produce. Bananas are also very high in Vitamin C, manganese and dietary fiber, all essential necessities for a balanced diet. Our produce team here at Spud.ca promises that our organic bananas arrive at your doorstep as if they were picked right off of the tree: tasty and fresh. Try using our organic bananas in our delicious vegan Banana Bread for a fun baking idea. These organic bananas are available for delivery to most areas on Vancouver Island. For more information about organic grocery delivery times and routes, take a look at our delivery page.",organic-bananas-200000014,,,,Organic Bananas,"With their high potassium and low sodium contents, our organic bananas are one of the most popular choices for fresh produce. Bananas are also very high in Vitamin C, manganese and dietary fiber, all essential necessities for a balanced diet. Our produce team here at Spud.ca promises that our organic bananas arrive at your doorstep as if they were picked right off of the tree: tasty and fresh. Try using our organic bananas in our delicious vegan Banana Bread for a fun baking idea. These organic bananas are available for delivery to most areas on Vancouver Island. For more information about organic grocery delivery times and routes, take a look at our delivery page.",organic-bananas-200000014,,,,Organic Bananas,"With their high potassium and low sodium contents, our organic bananas are one of the most popular choices for fresh produce. Bananas are also very high in Vitamin C, manganese and dietary fiber, all essential necessities for a balanced diet. Our produce team here at Spud.ca promises that our organic bananas arrive at your doorstep as if they were picked right off of the tree: tasty and fresh. Try using our organic bananas in our delicious vegan Banana Bread for a fun baking idea. These organic bananas are available for delivery to most areas on Vancouver Island. For more information about organic grocery delivery times and routes, take a look at our delivery page.",organic-bananas-200000014,,,,,,,,14,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000015,USD 900,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/1050910721_Bananas_Over-Ripe_new.jpg","Organic Bananas, Imperfect","Our over-ripe/imperfect bananas are perfect for baking, making smoothies, milkshakes and even ice-cream. These bananas may have slight bruising, brown dotting and will not be in pretty bunches, but they are just as delicious and nutritious as their perfect counterparts.",organic-bananas-imperfect-200000015,,,,"Organic Bananas, Imperfect","Our over-ripe/imperfect bananas are perfect for baking, making smoothies, milkshakes and even ice-cream. These bananas may have slight bruising, brown dotting and will not be in pretty bunches, but they are just as delicious and nutritious as their perfect counterparts.",organic-bananas-imperfect-200000015,,,,"Organic Bananas, Imperfect","Our over-ripe/imperfect bananas are perfect for baking, making smoothies, milkshakes and even ice-cream. These bananas may have slight bruising, brown dotting and will not be in pretty bunches, but they are just as delicious and nutritious as their perfect counterparts.",organic-bananas-imperfect-200000015,,,,,,,,15,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000016,USD 2990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-205911003_beets_red.jpg","Organic Beets, Red","The sweet red, nutrient rich flesh of the beet contains: iron, phosphorus, sodium, magnesium, calcium and potassium. During pregnancy eating beets can reduce the risk of birth defects by increasing folate intake. Store beets uncovered in the fridge.",organic-beets-red-200000016,,,,"Organic Beets, Red","The sweet red, nutrient rich flesh of the beet contains: iron, phosphorus, sodium, magnesium, calcium and potassium. During pregnancy eating beets can reduce the risk of birth defects by increasing folate intake. Store beets uncovered in the fridge.",organic-beets-red-200000016,,,,"Organic Beets, Red","The sweet red, nutrient rich flesh of the beet contains: iron, phosphorus, sodium, magnesium, calcium and potassium. During pregnancy eating beets can reduce the risk of birth defects by increasing folate intake. Store beets uncovered in the fridge.",organic-beets-red-200000016,,,,,,,,16,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000017,USD 4990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/100911206_blueberries.jpg",Organic Blueberries,"Jam-packed with antioxidants, fiber and Vitamin C, blueberries are known to be a ‘superfood’. Enjoy these superheroes from May through October to experience the best-tasting, best-looking, and best-feeling organic blueberries around. Here at Spud.ca, we take pride in providing you with the organic, sustainable produce that you deserve. And that’s why our produce team ensures that you receive your organic blueberries as though they came straight from the farm: fresh and delicious. Check out our delivery page for more information on sustainable food delivery times and routes on Vancouver Island.",organic-blueberries-200000017,,,,Organic Blueberries,"Jam-packed with antioxidants, fiber and Vitamin C, blueberries are known to be a ‘superfood’. Enjoy these superheroes from May through October to experience the best-tasting, best-looking, and best-feeling organic blueberries around. Here at Spud.ca, we take pride in providing you with the organic, sustainable produce that you deserve. And that’s why our produce team ensures that you receive your organic blueberries as though they came straight from the farm: fresh and delicious. Check out our delivery page for more information on sustainable food delivery times and routes on Vancouver Island.",organic-blueberries-200000017,,,,Organic Blueberries,"Jam-packed with antioxidants, fiber and Vitamin C, blueberries are known to be a ‘superfood’. Enjoy these superheroes from May through October to experience the best-tasting, best-looking, and best-feeling organic blueberries around. Here at Spud.ca, we take pride in providing you with the organic, sustainable produce that you deserve. And that’s why our produce team ensures that you receive your organic blueberries as though they came straight from the farm: fresh and delicious. Check out our delivery page for more information on sustainable food delivery times and routes on Vancouver Island.",organic-blueberries-200000017,,,,,,,,17,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000018,USD 5990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-100911302_Bok_Choy.jpg",Organic Bok Choy,"Also called Chinese white cabbage, bok choy is a mild, versatile veggie with crunchy white stalks and tender, dark green leaves. Our organic bok choy, grown locally in BC, is a popular choice in stir-fries or simply served raw in a salad. It has a delicate, sweet flavour and is very high in nutritional value- the perfect new addition to your meals. Have your organic bok choy delivered straight to your door for simple healthy living. Also, if you have any questions about our organic produce deliveries check out our delivery page for answers!",organic-bok-choy-200000018,,,,Organic Bok Choy,"Also called Chinese white cabbage, bok choy is a mild, versatile veggie with crunchy white stalks and tender, dark green leaves. Our organic bok choy, grown locally in BC, is a popular choice in stir-fries or simply served raw in a salad. It has a delicate, sweet flavour and is very high in nutritional value- the perfect new addition to your meals. Have your organic bok choy delivered straight to your door for simple healthy living. Also, if you have any questions about our organic produce deliveries check out our delivery page for answers!",organic-bok-choy-200000018,,,,Organic Bok Choy,"Also called Chinese white cabbage, bok choy is a mild, versatile veggie with crunchy white stalks and tender, dark green leaves. Our organic bok choy, grown locally in BC, is a popular choice in stir-fries or simply served raw in a salad. It has a delicate, sweet flavour and is very high in nutritional value- the perfect new addition to your meals. Have your organic bok choy delivered straight to your door for simple healthy living. Also, if you have any questions about our organic produce deliveries check out our delivery page for answers!",organic-bok-choy-200000018,,,,,,,,18,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000019,USD 5990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-100911402_broccoli.jpg","Organic Broccoli, Bunch","Broccoli, a member of the mustard family, contains high levels of lutein and sulphorphane which encourage the production of cancer fighting enzymes in the body. Store broccoli in the crisper or upright with the stalk in a container of water.",organic-broccoli-bunch-200000019,,,,"Organic Broccoli, Bunch","Broccoli, a member of the mustard family, contains high levels of lutein and sulphorphane which encourage the production of cancer fighting enzymes in the body. Store broccoli in the crisper or upright with the stalk in a container of water.",organic-broccoli-bunch-200000019,,,,"Organic Broccoli, Bunch","Broccoli, a member of the mustard family, contains high levels of lutein and sulphorphane which encourage the production of cancer fighting enzymes in the body. Store broccoli in the crisper or upright with the stalk in a container of water.",organic-broccoli-bunch-200000019,,,,,,,,19,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000020,USD 3990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-100911502_Brussels_Sprouts_v2.jpg",Organic Brussels Sprouts,"Named after the capital of Belgium, where they may have first been cultivated. They look like small heads of cabbage; in fact they belong to the cabbage family. A cruciferous vegetable, thought to protect against certain forms of cancer.",organic-brussels-sprouts-200000020,,,,Organic Brussels Sprouts,"Named after the capital of Belgium, where they may have first been cultivated. They look like small heads of cabbage; in fact they belong to the cabbage family. A cruciferous vegetable, thought to protect against certain forms of cancer.",organic-brussels-sprouts-200000020,,,,Organic Brussels Sprouts,"Named after the capital of Belgium, where they may have first been cultivated. They look like small heads of cabbage; in fact they belong to the cabbage family. A cruciferous vegetable, thought to protect against certain forms of cancer.",organic-brussels-sprouts-200000020,,,,,,,,20,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000021,USD 6990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-305911602_Green_Cabbage.jpg","Local Organic Cabbage, Green","Cabbage is high in anti-carcinogenic phytochemicals, so it stimulates the immune system’s production of antibodies. Simply saying, cabbage is great for your body, heart and mind. Order our fresh organic cabbage along with your other produce necessities, and have them delivered right to your doorstep. Our grocery delivery services are sure to serve your needs!",local-organic-cabbage-green-200000021,,,,"Local Organic Cabbage, Green","Cabbage is high in anti-carcinogenic phytochemicals, so it stimulates the immune system’s production of antibodies. Simply saying, cabbage is great for your body, heart and mind. Order our fresh organic cabbage along with your other produce necessities, and have them delivered right to your doorstep. Our grocery delivery services are sure to serve your needs!",local-organic-cabbage-green-200000021,,,,"Local Organic Cabbage, Green","Cabbage is high in anti-carcinogenic phytochemicals, so it stimulates the immune system’s production of antibodies. Simply saying, cabbage is great for your body, heart and mind. Order our fresh organic cabbage along with your other produce necessities, and have them delivered right to your doorstep. Our grocery delivery services are sure to serve your needs!",local-organic-cabbage-green-200000021,,,,,,,,21,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000022,USD 6990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/275915004_cantaloupe.jpg",Organic Cantaloupe,"Being the most widely used and enjoyed melons in the United States, organic cantaloupes are loaded with beta-carotene, Vitamin C, and Vitamin A. Enjoy this heart-healthy fruit served fresh and chilled for a nutritious snack. We take pride in providing you with the sustainable produce that your body deserves. Here at Spud.ca, our hardworking produce team ensures that you receive your organic cantaloupes as fresh as can be.",organic-cantaloupe-200000022,,,,Organic Cantaloupe,"Being the most widely used and enjoyed melons in the United States, organic cantaloupes are loaded with beta-carotene, Vitamin C, and Vitamin A. Enjoy this heart-healthy fruit served fresh and chilled for a nutritious snack. We take pride in providing you with the sustainable produce that your body deserves. Here at Spud.ca, our hardworking produce team ensures that you receive your organic cantaloupes as fresh as can be.",organic-cantaloupe-200000022,,,,Organic Cantaloupe,"Being the most widely used and enjoyed melons in the United States, organic cantaloupes are loaded with beta-carotene, Vitamin C, and Vitamin A. Enjoy this heart-healthy fruit served fresh and chilled for a nutritious snack. We take pride in providing you with the sustainable produce that your body deserves. Here at Spud.ca, our hardworking produce team ensures that you receive your organic cantaloupes as fresh as can be.",organic-cantaloupe-200000022,,,,,,,,22,,,,,,,,,,,Black,multi,,multi,,,,,
